fdc_id,data_type,description,food_category_id,publication_date,id,food_nutrient_conversion_factor_id,protein_value,fat_value,carbohydrate_value
324157,foundation_food,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,2019-04-01,22536.0,22536.0,4.27,9.02,3.87
324317,foundation_food,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",11.0,2019-04-01,22538.0,22538.0,3.7,8.8,4.0
324653,foundation_food,"Pickles, cucumber, dill or kosher dill",11.0,2019-04-01,22540.0,22540.0,2.44,8.37,3.57
324860,foundation_food,"Peanut butter, smooth style, with salt",16.0,2019-04-01,22542.0,22542.0,3.47,8.37,4.07
325036,foundation_food,"Cheese, parmesan, grated",1.0,2019-04-01,22544.0,22544.0,4.27,8.79,3.87
325198,foundation_food,"Cheese, pasteurized process, American, vitamin D fortified",1.0,2019-04-01,22546.0,22546.0,4.27,8.79,3.87
325287,foundation_food,"Grapefruit juice, white, canned or bottled, unsweetened",9.0,2019-04-01,22548.0,22548.0,3.36,8.37,3.92
325430,foundation_food,"Peaches, yellow, raw",9.0,2019-04-01,22550.0,22550.0,3.36,8.37,3.6
325524,foundation_food,"Seeds, sunflower seed kernels, dry roasted, with salt added",12.0,2019-04-01,22552.0,22552.0,3.47,8.37,4.07
325658,foundation_food,"Sausage, Italian, pork, mild, cooked, pan-fried",7.0,2019-04-01,22554.0,22554.0,4.27,9.02,3.87
325871,foundation_food,"Bread, white, commercially prepared",18.0,2019-04-01,22556.0,22556.0,3.9,8.7,4.1
325992,foundation_food,"Sausage, turkey, breakfast links, mild, raw",7.0,2019-04-01,22558.0,22558.0,4.27,9.02,3.87
326135,foundation_food,"Cheese, swiss",1.0,2019-04-01,22560.0,22560.0,4.27,8.79,3.87
326196,foundation_food,"Kale, frozen, cooked, boiled, drained, without salt",11.0,2019-04-01,22562.0,22562.0,2.44,8.37,3.57
326458,foundation_food,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",11.0,2019-04-01,22564.0,22564.0,2.78,8.37,3.84
326698,foundation_food,"Mustard, prepared, yellow",2.0,2019-04-01,22567.0,22567.0,3.47,8.37,3.34
